تعتبر نقابة المهندسين هيئة .......... للدولة فى مجال تخصصها,تشريعة.,اقتصادية.,ثقافية.,إستشارية. ,4
أيا مما يلي ليس من العقوبات التأديبية,لفت نظر.,الحبس. ,إنذار.,الثانية والثالثة معا.,2
يصرف الى المستحقين عن العضو المتوفى معاش شهرى متوسط مقداره .......... جنيها.,250,500,750,1200,1
لا يكون انعقاد الجمعية العمومية للنقابة صحيحا إلا إذا حضر إلاجتماع ...... فإذا لم يكتمل العدد أجل الاجتماع ساعتين.,ربع الأعضاء. ,ثلث الأعضاء.,نصف الأعضاء.,خمس الأعضاء.,1
يدير كل شعبة مجلس يختاره .......... من عدد لايقل عن سبعة ولا يجاوز خمسة عشر عضوا.,أعضائها. ,أمين الصندوق.,رئيس المجلس.,ليس أيا مما سبق.,1
تبلغ قرارات و توصيات مجلس الاتحاد و مؤتمره السنوي الى وزير الصناعة خلال ....... ايام من تاريخ صدورها.,سبعة. ,خمسة.,ثلاثة.,ليس أيا مما سبق.,1
يجتمع مجلس  النقابة بناء علي طلب ........ علي الاقل من اعضاء المجلس بكتاب مسبب.,15,20,25,10,4
يجوز لمن صدر قرار نهائي باسقاط عضويته من النقابة ان يطلب من ........ اصدار قرار  بانهاء اثر العقوبة.,هيئة الدرجة الثانية التأديبية. ,محكمة القضاء الاداري.,مجلس الدولة.,رئيس النقابة التابع لها.,1
تتألف لجنة التحقيق من .......... أعضاء.,ثلاثة. ,أربعة.,خمسة.,عشرة.,1
أى مما يلى لا يعد من شعب النقابة الهندسية:,شعبة الهندسة المعمارية.,شعبة الهندسة الميكانيكية.,شعبة الهندسة المدنية.,شعبة هندسة الطيران. ,4
يدير كل شعبة مجلس ينتخبه أعضائها من عدد لا يقل عن سبعة ولا يجاوز ........,10 أعضاء.,20 أعضاء.,30 أعضاء.,15 أعضاء. ,4
يختص مجلس كل شعبة  في النقابة ببعض الوظائف .........,تحقيق أهداف وأغراض النقابة على نطاق الشعبة.,النظر في شئون المهنة ورفع مستواها.,تسجيل الأعضاء في سجلاتها بعد قيدهم في النقابة.,جميع ما سبق. ,4
تلتزم النقابة الفرعية ومجلسها بتحقيق أهداف النقابة في إطار دائرتها وعلى مجلس النقابة الفرعية تنفيذ الواجبات الآتية  ما عدا .........,العمل على رفع المستوى الإجتماعى والثقافي والإقتصادى في المحافظة.,التعرف على حاجة ومشاكل المهنة في المنطقة والعمل على حلها.,تدعيم الجهود لزيادة الإنتاج في جميع الوحدات الإنتاجية في المحافظة.,تنفيذ قرارات مجلس النقابة بما في صالح رئيس المجلس فقط. ,4
تتكون إيرادات النقابة من :,رسوم القيد وإشتراكات الأعضاء والمكاتب الهندسية الإستشارية .,ما تمنحه الدولة للنقابة من إعانات.,ما يقبله مجلس النقابة من وصايا وهبات وتبرعات.,جميع ما سبق. ,4
تتكون موارد صندوق الإعانات والمعاشات مما يأتي:,رسوم القيد و ثلثا اشتراكات الأعضاء السنوية.,ما تمنحه الدولة للنقابة من إعانات.,أرباح مطبوعات النقابة ومقابل ما تقوم به من نشاط.,جميع ما سبق. ,4
يدار صندوق المعاشات والإعانات تحت إشراف مجلس النقابة لجنة برئاسة,أكبر الوكيلين سنا. ,أصغر الوكيلين سنا.,أكثر الوكيلين ربحا للمال .,رئيس المجلس.,1
لا تكون قرارات لجنة الصندوق نافذة إلا بعد التصديق عليها من ..........,رئيس المجلس.,أمين الصندوق.,أعضاء اللجنة.,مجلس النقابة. ,4
يكون للعضو الحق في معاش بالشروط والحالات الآتية:,يكون قد أدى الاشتراكات المستحقة عليه ما لم يكن قد أعفى منها من مجلس النقابة.,يثبت عجزه صحياً عن مزاولة المهنة بقرار من القومسيون الطبي العام قبل سن الستين.,إذا كانت خدمته قد انتهت لأسباب أخرى يرى مجلس النقابة معها منح معاش للعضو.,جميع ما سبق. ,4
يشترط فيمن يرشح لعضوية مجلس النقابة أو مجالس الشعب أو مجالس النقابات الفرعية أى مما يلى:,أن يكون مهندسا مقيدا بجداول النقابة. ,أن يكون حاصل على بكالوريوس الهندسة من احدى الجامعات المصرية او احدى الشهادات التى تعادلها ويكون مضى على تخرجه خمسة عشر عاما.,أن لا يقل سنه عن 36 سنه ولا يزيد عن 40.,1,
يشترط فيمن يرشح نفسه نقيبا أو عضوا مكملا أو رئيس نقابة فرعية يكون قد مضى على تخرجه........,خمس سنوات على الأقل.,عشر سنوات على الأقل.,سبع سنوات على الأقل.,خمسة عشر عاما على الأقل. ,4
يعلن مجلس النقابة عن مواعيد فتح باب الترشيح للمراكز النقابية الخالية على كافة المستويات وغلقها ومواعيد الانتخابات وذلك قبل فتح باب الترشيح .........,بخمسة أيام على الأقل.,بثلاثة أيام على الأقل.,بستة أيام على الأقل .,بسبعة أيام على الأقل. ,4
تقديم طلبات الترشيح شخصيا أو بتوكيل معتمد مقابل إيصال على أن يوضح بطلب الترشيح ما يلي:,"إسم المرشح ثلاثيا , وإسم الشهرة إن وجد.",رقم ومدة عضويته في الجدول العام.,المركز النقابي الذي يطلب الترشيح له.,جميع ما سبق. ,4
يتم إنتخابات أعضاء مجلس الشعب ومجالس النقابات الفرعية في الأسبوع الأخير من شهر ........,يناير.,فبراير. ,مارس.,إبريل.,2
يتم فرز الأصوات تحت أشراف لجنة مكونة من ....... من مجلس النقابة,خمسة أعضاء.,ثمانية أعضاء.,أربعة أعضاء.,ثلاثة أعضاء. ,4
تكون مدة العضوية في مجالس التنظيمات النقابية على كافة مستوياتها ........,سبع سنوات.,خمس سنوات.,أربع سنوات. ,ثلاث سنوات.,3
رئيس هيئة الدرجة الاولى يكون .........,النقيب.,عضو مجلس الدولة.,مهندس بدرجة أستاذ.,وكيل النقابة. ,4
رئيس هيئة الدرجة الثانيه يكون .........,وكيل النقابه.,عضو مجلس الدوله.,النقيب. ,أمين الصندوق.,3
يجوز لمن صدر قرار نهائي باسقاط عضويته من النقابه ان يطلب من هيئة الدرجه التانيه التأديبيه بعد مضي ...... اصدار قرار بانهاء أثر العقوبه.,أربع سنوات. ,خمس سنوات.,سبع سنوات.,عشر سنوات.,1
فى حالة الموافقة على إنهاء العقوبة يحق للعضو التقدم بأوراق عضويته من جديد  وإذا رفضت الهيئة جاز له التقدم بطلب جديد بعد مضي .......,ستة سنوات من تاريخ الرفض.,ستة سنوات من تاريخ العقوبة.,ثلاث سنوات من تاريخ العقوبة.,ثلاث سنوات من تاريخ الرفض. ,4
يمنح العضو معاشا شهريا عند إحالته إلى المعاش قبل بلوغه سن الستين قدره .........,160 جنيها شهريا. ,250 جنيها شهريا.,300 جنيها شهريا.,400 جنيها شهريا.,1
يمنح العضو معاشا شهريا قدره 200 جنيه فى حالة .........,إحالته للمعاش وقد بلغ سن الستين.,العجز الصحى الكامل عن مزاولة المهنة قبل بلوغ سن الستين.,إحالته للمعاش قبل بلوغ سن الستين.,الأول والثاني معا. ,4
يسقط حق الابن فى المعاش ببلوغه سن ....... ما لم يثبت انه طالب منتظم فى دراسته.,18 سنة.,21 سنة. ,20 سنة.,25 سنة.,2
يرأس النقيب الجمعية العمومية فاذا تغيب تكون    الرئاسة لـ ..........,أكبر الوكيلين سنا. ,أكبر أعضاء النقابة سنا.,الوكيل الثانى.,الأمين العام.,1
يجوز للعضو المقدم للمحاكمة أن يحضر بنفسه أو يوكل من يشاء من أعضاء النقابة أو من المحامين للدفاع عنه ولمجلس التأديب أن يأمر بحضوره شخصيا,الجملة صحيحة ,الجملة خاطئة,1,,
لمجلس النقابة أن يعين لمعاونته مكتبا فنيا متفرغا يرأسه احد اعضاء النقابة كما له ان يشكل لجانا للاشراف على اوجه النشاط التى يراها المجلس,الجملة صحيحة ,الجملة خاطئة,1,,
يختص مجلس النقابة بالعمل على تحقيق اهداف النقابة ووضع وسائل تنفيذها ومتابعتها,الجملة صحيحة ,الجملة خاطئة,1,,
يختص مجلس النقابة بتنسيق العلاقة بين مجلس النقابة والشعب والنقابات الفرعية والاعتراض على قرارات مجالس هذه النقابات التى تصدر بالمخالفة للقانون او النظام الداخلى لها او تتعارض مع السياسة العامة للنقابة,الجملة صحيحة ,الجملة خاطئة,1,,
ليس من اختصاصات مجلس النقابة ان يقوم بتسوية النزاعات التى تنشأ بين الاعضاء او بينهم وبين اصحاب الاعمال بسبب المهنة,الجملة صحيحة,الجملة خاطئة ,2,,
مجلس النقابة هو الامين على اموالها وتحصيلها وحفظها ويقوم باقرار وصرف النفقات التى تستلزمها ادارة النقابة فى حدود الميزانية المعتمدة وطبقا للاوضاع المقررة فى النظام الداخلى,الجملة صحيحة ,الجملة خاطئة,1,,
يكون للعضو الحق فى معاش بشرط أن يثبت عجزه صحيا عن مزاولة المهنة بقرار من القومسيون الطبى العام قبل بلوغه سن الستين,الجملة صحيحة ,الجملة خاطئة,1,,
فى حالة وفاة العضو لا يصرف للمستحقين عنه معاش طبقا للقواعد والاوضاع والشروط التى يحددها النظام الداخلى للنقابة,الجملة صحيحة,الجملة خاطئة ,2,,
يجوز الجمع بين المعاش المقرر من النقابة واى معاش اخر من اى جهة اخرى طبقا لاى قانون او نظام معاشات اخر,الجملة صحيحة ,الجملة خاطئة,1,,
قبل ان يفتح الرئيس الجلسة يقوم الامين العام بالتأكد من عدد الحاضرين لاعلان صحة الاجتماع من عدمة,الجملة صحيحة ,الجملة خاطئة,1,,
تكون جلسات هيئة التأديب ومحكمة القضاء الادارى علنيه ويصدر الحكم او القرار فى جلسة علنيه,الجملة صحيحة,الجملة خاطئة ,2,,
يجوز لمن يشترك فى لجنة التحقيق الاشتراك فى هيئة الدرجة الاولى او الثانيه,الجملة صحيحة,الجملة خاطئة ,2,,
يجب ان يصدر قرار مجلس التأديب مسببا,الجملة صحيحة  ,الجملة خاطئة,1,,
"يجوز للعضو الترشيح لأكثر من مستوى نقابي , على أن يختار احد المستويات فقط فور ظهور نتيجة الانتخابات",الجملة صحيحة ,الجملة خاطئة,1,,
تلغى بطاقة الانتخابات إذا انتخب عددا يقل أو يزيد عن العدد المطلوب,الجملة صحيحة ,الجملة خاطئة,1,,
المقر الرئيسى لنقابة المهندسين الأسكندرية ولها فروع بالمحافظات طبقا لأحكام القانون,الجملة صحيحة,الجملة خاطئة ,2,,
يكفي ان تعمل في مجال الهندسة حتي يتم تسجيلك كعضو  في نقابة المهندسين,الجملة صحيحة,الجملة خاطئة ,2,,
يجوز طلب القيد فى أكثر من شعبة من شعب النقابة اذا توافرت لدى الطالب المؤهلات العلمية اللازمة,الجملة صحيحة ,الجملة خاطئة,1,,
يقفل ياب الترشح للمراكز النقابية الخالية فى الأسبوع الاخير من يناير,الجملة صحيحة ,الجملة خاطئة,1,,
يكون تقديم طلبات الترشيح شخصيا أو بتوكيل معتمد مقابل ايصال أو بخطاب مسجل بعلم الوصول فى مواعيد,الجملة صحيحة ,الجملة خاطئة,1,,
توجه الدعوه الي الأعضاء لحضور عملية الانتخاب بطريق مندوب من النقابة,الجملة صحيحة,الجملة خاطئة ,2,,
تتم انتخابات أعضاء مجلس الشعب ومجالس النقابات الفرعية فى الأسبوع الاخير من شهر يناير,الجملة صحيحة,الجملة خاطئة ,2,,
يتم فرز الأصوات تحت اشراف لجنه مكونه من ثلاثة أعضاء من مجلس القابة المختص من غير المرشحين,الجملة صحيحة ,الجملة خاطئة,1,,
يجوز للعضو الترشح فى أكثر من مستوى نقابى على ان يختار أحد المستويات فقط فور ظهور النتيجه,الجملة صحيحة ,الجملة خاطئة,1,,
تختص الجمعية العمومية باقتراح تعديل قانون النقابة,الجملة صحيحة ,الجملة خاطئة,1,,
تعقد الجمعية العمومية فى الأسبوع الأول من شهريناير من كل سنة فى موعد يعينه مجلس النقابة,الجملة صحيحة,الجملة خاطئة ,2,,
لا يكون انعقاد الجمعية العمومية صحيحا الا اذا حضر الاجتماع ربع الأعضاء على الأقل,الجملة صحيحة ,الجملة خاطئة,1,,
يختص مجلس النقابة بدراسة الاقتراحات المقدمة من الأعضاء,الجملة صحيحة ,الجملة خاطئة,1,,
لا يجوز للجمعية العمومية للنقابة بناء على اقتراح مجلسها ادماج شعبة فى اخرى أو انشاء شعبة جديدة,الجملة صحيحة ,الجملة خاطئة,2,,
يدير كل شعبة مجلس ينتخبه أعضائها من عدد لايقل عن سبعة ولا يجاوز خمسة عشر عضوا,الجملة صحيحة ,الجملة خاطئة,1,,
ينتخب مجلس الشعبة من بين أعضائه كل خمس سنوات رئيسا للشعبة ووكيلا وأمينا لها,الجملة صحيحة,الجملة خاطئة ,2,,
في حالة سقوط العضوية لاي سبب من الاسباب يحرم العضو من المعاش و لا يعاد صرفة حتي بعد زوال اسباب سقوط العضوية,الجملة صحيحة,الجملة خاطئة ,2,,
يشترط فيمن يترشح نقيبا او عضوا مكملا او رئيس نقابة فرعية ان يكون قد مضي علي تخرجه ومزاولته احدى المهن الهندسية خمسة عشر عاما علي الاقل,الجملة صحيحة ,الجملة خاطئة,1,,
تكون جلسات هيئة التأديب و محكمة القضاء الاداري علنية,الجملة صحيحة,الجملة خاطئة ,2,,
لا يكون للعضو الحق في مزاولة المهنة  في حالة اسقاط العضوية من النقابة,الجملة صحيحة ,الجملة خاطئة,1,,
تبدأ السنة المالية لنقابة المهندسين  في  أول يوليو من كل عام,الجملة صحيحة,الجملة خاطئة ,2,,
تتكون ايرادات نقابة المهندسين مما تمنحه الدولة للنقابة من اعانات فقط,الجملة صحيحة,الجملة خاطئة ,2,,
قيمة الدمغة التي  تلصق في حالة الشكاوي المقدمة من الاعضاء 15جنيها,الجملة صحيحة,الجملة خاطئة ,2,,
تودع أموال النقابة في حساب خاص بأحد المصارف الخاصة,الجملة صحيحة,الجملة خاطئة ,2,,
يكون الصرف من أموال النقابة بتوقيع ثلاثة من أعضاء هيئة المكتب,الجملة صحيحة,الجملة خاطئة ,2,,
تعفي المهندسين والنقابات الفرعية من جميع الضرائب والرسوم المفروضة من الحكومة أو السلطات العامة مهما كان تسميتها,الجملة صحيحة ,الجملة خاطئة,1,,
يجوز للجمعية العمومية للنقابة بناءً على اقتراح مجلسها إدماج شعبة في أخرى أو إنشاء شعب جديدة,الجملة صحيحة ,الجملة خاطئة,1,,
لمجلس النقابة أن يقرر صرف أعانة وقتية أو دورية لعضو أو ورثته إذا طرأت ظروف تقتضي المساعدة بشرط تتوافر شروط استحقاق المعاش,الجملة صحيحة,الجملة خاطئة ,2,,
يسقط حق الابن في المعاش ببلوغه 21 سنة مالم يثبت انه زال طالبا منتظما في دراسته في أحدى الجامعات أو المعاهد العليا أو المعاهد الفنية,الجملة صحيحة ,الجملة خاطئة,1,,
لا يجوز تكرار صرف الإعانة إلا بعد انقضاء سنتين إلا في حالات الضرورة القصوى ويكون صرفها في هذه الحالة بناء على قرار من مجلس النقابة,الجملة صحيحة ,الجملة خاطئة,1,,
لمجلس النقابة منح قروض بفائدة للظروف الطارئة لأعضاء النقابة أو لمن يستحق معاشا أو إعانة من الصندوق في حدود بنود الميزانية المعتمدة لهذا الغرض,الجملة صحيحة,الجملة خاطئة ,2,,
يجوز منح سلفة في حدود عشرون جنيها شهريا لمن يرغب من المهندسين اثناء مدة تجنيدهم على أن تسدد بعد انتهاء التجنيد على أقساط شهرية لمدة ثلاث سنوات,الجملة صحيحة ,الجملة خاطئة,1,,
يجب إلا تجاوز المصروفات في الميزانية المقترحة للسنة الجديدة 50% من الإيرادات السنوية لأمول الصندوق ويخصص الباقي كاحتياطي لسد العجز الطارئ في الميزانية,الجملة صحيحة,الجملة خاطئة ,2,,
تمنح نقابة المهندسين الأجانب تصريحات مؤقتة ومحددة لممارسة المهنة تتبع لقواعد منها خطاب من الجهة التي سوف يعمل لديها المهندس الاجنبى,الجملة صحيحة ,الجملة خاطئة,1,,
شهادة التخرج موثقة من وزارة الخارجية المصرية أو السفارة المصرية بالخارج من ليست من الشروط المطلوبة لعمل المهندسين الأجانب داخل مصر,الجملة صحيحة,الجملة خاطئة ,2,,
من اختصاصات الجمعية العمومية اقتراح تعديل قانون النقابة,الجملة صحيحة ,الجملة خاطئة,1,,
مدة العضوية فى مجالس التنظيمات النقابية على كافة مستواياتها اربعة سنوات,الجملة صحيحة ,الجملة خاطئة,1,,
مجلس النقابة يؤلف من النقيب وعدد اعضاء لا يقل عن 55 عضو ولا يزيد عن 78 عضو,الجملة صحيحة,الجملة خاطئة ,2,,
مجلس النقابة يجتمع مرة على الاقل كل شهر بدعوة من النقيب او كلما دعت الضرورة لذلك او بناءا على طلب 10 اعضاء على الاقل من اعضاء المجلس,الجملة صحيحة ,الجملة خاطئة,1,,
"يجوز نشر قرارات الجمعية العمومية فى الجرائد اليومية, متى قرر مجلس النقابة ذلك",الجملة صحيحة ,الجملة خاطئة,1,,
