________  هو ما يعطي للعامل لقاء ظروف او مخاطر معينه في اداء عمله .,البدل ,العموله,العلاوات,1,
يلغى الترخيص بقرار من الوزير المختص عند :,فقد الشركة شرطاً من شروط الترخيص,تقاضي الشركة أي مبالغ من العامل نظير تشغيله بالمخالفة للأحكام,حصول الشركة على الترخيص أو تحديده,جميع ما سبق ,4
يجوز للوزير المختص وقف إصدار تراخيص جديدة أو تجديد التراخيص القائمة في ضوء احتياجات سوق العمل الفعلية,صح ,خطأ,1,,
يلتزم كل من يستخدم اجنبيا اعفي من شروط الحصول علي الترخيص بان يخطر الجهة الادارية المختصه بذلك الاستخدام خلال …...من مزاولة الاجنبي للعمل وكذلك عند انتهاء خدمته لديه,5ايام,7ايام ,6ايام,2,
يلتزم صاحب العمل بتحرير عقد العمل كتابة باللغه العربيه من …….نسخ,اربع,ثلاث ,خمس,2,
تحدد مدة الاختبار في عقد العمل،ولا يجووز تعيين العامل تحت الاختبار لمدة تزيد عن ……….او تحت الاختبار اكثر من مرة واحدة عند صاحب عمل واحد,3 اشهر ,7 اشهر,9 اشهر,1,
ليس لصاحب العمل ان يحرم العامل من اجره عن مدة الاجازة او يسترد ما اذاه من اجر عنها إذا ثبت اشتغاله خلالها لدى صاحب عمل اخر,الإجابة صحيحة ,الإجابة خاطئة,2,,
للعامل الذي أمضي في خدمة صاحب العمل 3 سنوات متصلة الحق في إجازة باجر كامل لمدة شهر لأداء فريضة الحج او زيارة بيت المقدس.,الإجابة صحيحة,الإجابة خاطئة ,2,,
من واجبات العمل ان يحافظ العامل على الاجراءات المقررة في حالة التغيب عن العمل او مخالفه مواعيده.,الإجابة صحيحة ,الإجابة خاطئة,1,,
من واجبات العامل ان لا يراعى النظم الموضوعة للمحافظة على سلامة المنشاة وامنها ,الإجابة صحيحة ,الإجابة خاطئة,2,,
للعامل ان يستفيد من متجمد اجازته السنوية الى جانب ما يستحقه من إجازة .......,عرضية,مرضية ,الأعياد,أخرى,2
للعامل ان ينقطع عن العمل لسبب عارض لمدة لا تتجاوز .... بحد اقصي يومان في المرة الواحدة,10 أيام,5 أيام,15 يوم,6 أيام ,4
للعامل الحق في اخذ إجازة باجر كامل في الأعياد التي يصدر بتحديدها قرار من ....,المدير المباشر,الوزير المختص ,صاحب العمل,رئيس الجمهورية,2
للعامل الذي يثبت مرضه في المنشآت الصناعية الحق في إجازة مرضية كل ثلاث سنوات تقضى في الخدمة على أساس ....... بأجر كامل,3 أشهر,5 أشهر,شهر  ,شهر ونصف,1
يجب على العامل الحفاظ على اسرار العمل فلا يفشى المعلومات المتعلقه بالعمل وفقا للتعليمات الكتابية الصادرة من صاحب العمل,العباره صحيحه ,العباره خاطئه,1,,1
يجب على العامل اخفاء البيانات الصحيحه المتعلقه بمحل اقامته وحالته الاجتماعيه وموقفه من اداء الخدمه العسكريه عن جهة العمل,العباره صحيحه,العباره خاطئه ,2,,1
يجب على العامل ان يتبع النظم التى يضعها صاحب العمل لتنمية وتطوير مهاراته وخبراته مهنيا وثقافيا,العباره صحيحه ,العباره خاطئه,1,,
يحظر على العامل ان يقوم بنفسه  ب................,الاحتفاظ  لنفسه باصل ايه ورقة او مستند خاص بالعمل,ممارسة نشاط مماثل للنشاط الذى يمارسه صاحب العمل اثناء مدة سريان العقد,قبول الهدايا والمكافات او العمولات او اشياء اخرى باية صفة كانت بمناسبة قيامه بواجباته بغير رضاء صاحب العمل,جميع ما سبق ,4
اذا نشاء نزاع فردى  بين العامل وصاحب العمل جاز لكلا منهما ان يطلب من الجهة الادارية المختصة  خلال ..........  من تاريخ النزاع تسويته وديا,ثلاثة ايام,خمسة ايام,عشرة ايام,سبعة ايام ,4
اذا لم يتم تسوية الخلاف فى موعد اقصاه عشرة ايام من تاريخ تقديم الطلب جاز لكلا من العامل وصاحب العمل اللجوء الى اللجنه القضائيه فى موعد اقصاه .......... من تاريخ النزاع والا سقط حقه فى عرض الامر على اللجنه,عشرون يوما,ثلاثون يوما ,ستون يوما,لا شئ مما سبق,2
تشكل لجان قضائيه بقرار من وزير العدل بالاتفاق مع الجهات المعينه من :................,اثنين من القضاه ومدير مديرية القوى العامله,عضو عن اتحاد نقابات العمال,مدير القوى العامله وعضو من منظمة اصحاب الاعمال المعنيه,اتنين من القضاه ومدير مديرية القوى العامله وعضو عن اتحاد نقابات العمال وعضو من منظمة اصحاب الاعمال المعنيه ,4
تختص اللجنه القضائيه دون غيرها بالفصل فى المنازعات الفرديه الناشئه وبالاخص ..............,مشروعيه قرار الفصل,الطعن المقدم من العامل فى حالة انهاء العقد,المنازعات الناشئه عن الفصل التأديبى وانها عقد العمل وخاصة ما يتعلق بمستحقات العامل من اجور وتعويضات,جميع ما سبق ,4
ف الفصل التاديي ..اذا امرت اللجنه بوقف التنفيذ التزم صاحب العمل تعويض العامل بمبلغ 5 اشهر ع االاكثر,العباره صحيحه,العباره خاطئه ,2,,
لا يجوز الطعن في القرار الصادر من اللجنه,العباره صحيحه,العباره خاطئه ,2,,
على من اتلف او اقتطع شيئا دون وجهه حق وجب عليه رد ما اقتطع خلال,سبعه ايام  ,خمسه عشر يوما,خمسه ايام,غشرين يوما,1
صاحب العمل له الحق في انشااء ملف خاص بالعامل واسمه ومهنته او لا بنشئ شي,العباره صحيحه,العباره خاطئه ,2,,
يتلزم صاحب العمل بنقل العامل من الجهه ال تم التعاقد معه فيها الى مكان العمل كما يلزم باعادته الى الجهه خلال .........من تاريخ انتهاء عقد العمل.,يومين.,ثلاث ايام. ,اربع ايام.,خمس ايام.,2
مع عدم الاخلال بأحكام القانون الخاص بتنظيم وتشغيل العمال فى المنشأت الصناعيه لايجوز تشغيل العامل تشغيلا فعليا أكثر من ......ساعات ف اليوم.,سته.,سبعه.,ثمان. ,تسع.,3
يجب ان تخلل ساعات العمل فتره او اكثر للراحه والطعام لا يقل مجموعها عن ...... .,ربع ساعه.,ثلث ساعه.,نص ساعه.,ساعه. ,4
يجوز فى الاماكن البعيده عن العمران وفى الاعمال التى تتطلب طبيعه العمل او الظروف التشغيل فيها استمرار العمل تجميع الراحات الاسبوعيه المستحقه للعامل عن مده لا تتجاوز ..... اسابيع .,خمسه.,سته.,سبعه.,ثمانيه. ,4
يتوجب على الجهه الاداريه المختصه اذا تقدم اليها العامل فى نهايه المده المذكوره اعادته ال الجهه ال تم التعاقد معه فيها على نفقتها ويجوز لهذه الجهه استرداد ما انفقته بطريق الحج الادارى  .,العباره صحيحه ,العباره خاطئه,1,,
الراحله الاسبوعيه  ليست مدفوعه الاجر.,العباره صحيحه,العباره خاطئه ,2,,
اذا عهد صاحب العمل  الى اخر بتأديه عمل من اعماله أو جزء منها  وذلك فى منطقه عمل واحده وجب على هذا الاخير ان يسوى بين عماله وعمال صاحب العمل الاصلى فى جميع الحقوق ويمكن للاخير ان لا يكون متضامنا معه فى ذلك.,العباره صحيحه,العباره خاطئه ,2,,
هل يجوز لصاحب العمل عدم التقيد بقانون ساعات العمل وفترات الراحة  إذا كان التشغيل بقصد مواجهة ضرورات عمل غير عادية او ظروف استثنائيه,العباره صحيحه ,العباره خاطئه,1,,
يتم تطبيق مواد قانون ساعات العمل وفترات الراحه علي عمال النظافة والحراسه,العباره صحيحه,العباره خاطئه ,2,,
لا يجب ان يزيد ساعات العمل في جميع الاحول عن 10 ساعات,العباره صحيحه ,العباره خاطئه,1,,
للعاملة التي امضت10 اشهر في خدمه صاحب العمل او اكثر الحق في اجازة وضع مدتها تسعون يوما,العباره صحيحه  ,العباره خاطئه,1,,
لا تحصل العاملة عند اخذها اجازة وضع علي اجرها كاملا,العباره صحيحه,العباره خاطئه ,2,,
تحصل العاملة اجازة وضع مرتين فقط طوال فترة عملها,العباره صحيحه ,العباره خاطئه,1,,
يحق للعاملة اخذ فترتين للرضاعه لاتزيد عن نصف ساعة ويمكنها ضم هتان الفترتان,العباره صحيحه ,العباره خاطئه,1,,
يترتب عن اخذ فترات الرضاعة تخفيض في اجر العاملة,العباره صحيحه,العباره خاطئه ,2,,
لا يجوز لصاحب العمل فصل العاملة خلال فترة الوضع,العباره صحيحه ,العباره خاطئه,1,,
يكون للعاملة في المنشأة التي تستخدم .......عاملا فأكثر الحق في الحصول علي إجازه بدون أجر لاتتجاوز سنتين لرعايت طفلها .,50,80,100,30,1
يجب علي صاحب العمل في حالة تشغيل ..........عاملات فأكثر أن يعل في أمكنة العمل وتجمع العمال نسخة من نظام تشغيل النساء,3عاملات,4عاملات,5عاملات ,6 عاملات,3
علي صاحب العمل الذي يستخدم مائة عاملة فأكثر في مكان واحد أن ينشاء دار للحضانه او يعهد الي دار للحضانه برعايه اطفال العاملات,العباره صحيحه ,العباره خاطئه,1,,
يعتبر طفلا كل من بلغ الرابعه عشرة سنة او تجاوز سن إتمام التعليم الأساسي ولم يبلغ....... سنه كاملة,17,21,22,18,1
يلتزم كل  صاحب العمل يستخدم طفلاً دون ....... بمنحه بطاقة تثبت أنه يعمل لديه وتلصق عليها صورة الطفل,16 سنه ,18 سنه,17 سنه,20 سنه,1
يحظر تشغيل الطفل أكثر من ست ساعات يومياً,العباره صحيحه ,العباره خاطئه,1,,
يجب ان تتخلل ساعات العمل فترة أو أكثر لتناول الطعام والراحه لا تقل في مجموعها عن ..............,ساعة ,ساعتان,1\2 ساعة,لا شي مما سبق,1
يحظر تشغيل الطفل ساعات عمل إضافيه أو تشغيله أيام الراحه الاسبوعيه والعطلات الرسميه,العباره صحيحه ,العباره خاطئه,1,,
في جميع الاحوال يحظر تشغيل الطفل فيما بين الساعة  ...............,الثامنة مساء والسابعه صباحا ,التاسعه مساء والسابعه صباحا,الثامنة مساء والتاسعه صباحا,الثامنة مساء والخامسه  صباحا,1
يجب علي صاحب العمل الذي يقوم بتشغيل طفل أو اكثر أن ........,يعلق في مكان ظاهر في محل العمل نسخة تحتوي علي الاحكام التي يتضمنها هذا الفصل,يبلغ الجهه ألاداريه المتختصه باسماء الاطفال,يحرر كشفا موضحا به ساعات العمل وفترات الراحة,كل ماسبق ,4
لا يجوز تشغيل الأطفال الذين يقل سنهم عن 17 عام في الاعمال والمهن والصناعات الأتيه .................,إذابة الزجاج وإنضاجه,الدهان بمادة الدوكو,اللحام بالأكسجين والأسيتيلين وبالكهرباء,كل ماسبق ,4
في الحالات التي يحق لصاحب العمل انهاء عقد العمل لأسباب اقتصادية يحق له ان يعدل من شروط العقد بصفة مؤقتة بدلا من ذلك.,العبارة خاطئة,العبارة صحيحة ,2,,
لا يجوز تشغيل الأطفال التى تقل سنهم عن سبعة عشرة سنه فى,صنع القصدير والمركبات المعدنيه المحتوية على أكثر من 10% من الرصاص . ,صنع القصدير والمركبات المعدنيه المحتوية على أقل من  10% من الرصاص .,صنع القصدير والمركبات المعدنيه المحتوية 10% من الرصاص .,1,
لا يجوز تشغيل الأطفال التى تقل سنهم عن سبعة عشرة سنه فى صناعة الكاوتشوك :,العبارة صحيحة . ,العبارة خاطئة .,1,,
لا يجوز تشغيل الأطفال التى تقل سنهم عن سبعة عشرة سنه فى :,نقل الركاب بطريق البر أو السكك الحديدية أو المياه الداخليه .,تستيف بذرة القطن فى عنابر السفن .,صناعة الفحم من عظام الحيوانات ماعدا عملية فرز لعظام قبل حرقها .,كل ماسبق . ,4
ينتهى عقد العمل محدد المدة بانقضاء مدته :,العبارة صحيحة . ,العبارة خاطئة .,1,,
إذا أبرم العقد لمدة تزيد عن الخمس سنوات جاز للعامل انهاؤه :,دون تعويض وذلك بعد إخطار صاحب العمل قبل الإنهاء بثلاثة أشهر . ,بدفع تعويض وذلك بعد إخطار صاحب العمل قبل الإنهاء بثلاثة أشهر .,1,,
إذا أبرم عقد العمل لإنجاز عمل معين ، انتهى العقد بإنهاء هذا العمل ، فإذا استغرق الانجاز مدة تزيد على الخمس سنوات .,لايجوز للعامل إنهاء العقد قبل إتمام إنجاز العمل . ,يجوز إنهاء العقد ودفع تعويض .,1,,
إذا انتهى عقد العمل المبرم لعمل معين بإنجازه ، جاز تجديده باتفاق صريح بين طرفيه وذلك :,لعمل أو أعمال أخرى مماثله . ,لأى نوع من الاعمال .,لا شئ مما سبق,1,
إذا كان عقد العمل غير محدد المدة جاز لكل من طرفيه إنهاؤه بشرط :,أن يخطر الطرف الاخر كتابة قبل إنهاؤه . ,ألا يخطر الطرف الاخر .,1,,
اذا كان عقد العمل غير محدد المدة جاز لكل من طرفيه إنهاؤه بشرط أن يخطر الطرف الآخر شفهيا قبل الإنهاء,العباره صحيحه,العباره خاطئه ,2,,
عند إنهاء عقد العمل يراعى فى جميع الأحوال أن يتم الإنهاء فى وقت ملائم,العباره صحيحه ,العباره خاطئه,1,,
يجب أن يتم الأخطار قبل إنهاء عقد العمل بثلاثة أشهر إذا لم تتجاوز مدة الخدمة المتصلة للعامل عشر سنوات,العباره صحيحه,العباره خاطئه ,2,,
يجب أن يتم الأخطار قبل إنهاء عقد العمل بثلاثة أشهر إذا زادت مدة الخدمة المتصلة للعامل عن عشر سنوات,العباره صحيحه ,العباره خاطئه,1,,
لا يعتبر عقد العمل قائما طوال مهلة إخطار إنهاء العقد وينتهى التزامات كلا الطرفين,العباره صحيحه,العباره خاطئه ,2,,
يجوز الاتفاق بين صاحب العمل والعامل على زيادة مدة إخطار إنهاء عقد العمل,العباره صحيحه ,العباره خاطئه,1,,
إذا كان الإخطار بالإنهاء من جانب صاحب العمل يحق للعامل أن يتغيب يومين كاملين فى الإسبوع وذلك للبحث عن عمل آخر مع استحقاقه لأجره,العباره صحيحه,العباره خاطئه ,2,,
إذا أنهى صاحب العمل عقد العمل قبل إنقضاء مهلة الإخطار التزم بأن يؤدى للعامل مبلغا يعادل اجره عن مده المهلة,العباره صحيحه ,العباره خاطئه,1,,
لا يعتد باستقالة العامل إلا اذا كانت مكتوبة,العباره صحيحه ,العباره خاطئه,1,,
للعامل المستقيل أن يعدل عن إستقالته كتابةً خلال أسبوعين من تاريخ إخطاره صاحب العمل بالاستقاله,العباره صحيحه,العباره خاطئه ,2,,
تقديم شكوي ضد صاحب العمل تعتبر من المبررات المشروعة والكافية لإنهاء عقد العمل,العباره صحيحه,العباره خاطئه ,2,,
انتساب العامل إلى منظمة ثقافية تعتبر من المبررات المشروعة والكافية لإنهاء عقد العمل,العباره صحيحه,العباره خاطئه ,2,,
يجوز للعامل إنهاء العقد إذا أخل صاحب العمل بالتزام من التزاماته الجوهرية,العباره صحيحه  ,العباره خاطئه,1,,
إذا كان انهاء العقد بدون مبرر صادر من جانب صاحب العمل فلا يجوز أن يقل التعويض المستحق عن أجر ..........,شهر من الأجر الشامل عن كل سنة من سنوات الخدمة,شهرين من الأجر الشامل عن كل سنة من سنوات الخدمة ,ثلاثة أشهر من الأجر الشامل عن كل سنة من سنوات الخدمة,ستة أشهر من الأجر الشامل عن كل سنة من سنوات الخدمة,2
ينتهي عقد العمل بوفاة العامل حقيقة أو حكما طبقا للقواعد ............... المقررة,القضائية,الشريطية,القانونية ,السياسية,3
إذا توفى العامل وهو فى الخدمة يصرف صاحب العمل لأسرته ما يعادل أجر شهرين كاملين لمواجهة نفقات الجنازة بحد أدنى قدره .............,مئة جنيه,مائتان جنيه,مائتان وخمسون جنيها ,ثلاثمائة جنيه,3
إذا توفى العامل وهو فى الخدمة يصرف صاحب العمل لأسرته منحة تعادل أجر العامل كاملا عن الشهر الذى توفى فيه والشهرين التاليين له طبقا لقواعد قوانين التأمين ..........,الصحي,التكافلي,الشامل,الاجتماعي ,4
يستحق العامل عن مدة عمله بعد سن الستين مكافأة بواقع أجر نصف شهر عن كل سنة من السنوات الخمس الاولى وأجر ........ عن كل سنة من السنوات التالية لها,شهر ,شهرين,ثلاثة أشهر,ستة أشهر,1
يحظر على صاحب العمل إنهاء عقد العمل لمرض العامل إلا إذا ..........,استنفد العامل أجازاته المرضة,استنفد العامل متجمد أجازاته السنوية,"أ ,ب  كلاهما معا ",لا توجد اجابة صحيحة,3
يجب على العاملة التى ترغب في إنهاء العقد بسبب زواجها او حملها او إنجابها أن تخطر صاحب العمل كتابة برغبتها فى ذلك خلال ......... من تاريخ ابرام عقد الزواج أو ثبوت الحمل أو من تاريخ الوضع,شهر,شهرين,ثلاثة أشهر ,أربعة أشهر,3
لا ينتهي عقد العمل بوفاة صاحب العمل إلا إذا كان أبرم لاعتبارات تتعلق بشخص صاحب العمل أو بنشاطه الذى ينقطع بوفاته,العباره صحيحه ,العباره خاطئه,1,,
ينتهي عقد العمل بعجز العامل عن تأدية عمله كليا أو جزئيا أيا كان سبب هذا العجز,العباره صحيحه,العباره خاطئه ,2,,
على صاحب العمل أن يخطر العامل برغبته في إنهاء العقد قبل مضي عشرون يوما من تاريخ استنفاد العامل لأجازاته,العباره صحيحه,العباره خاطئه ,2,,
للعامل ان يحصل من صاحب العمل دون مقابل شهادة بتحديد خبرته وكفاءته المهنية وذلك في نهاية العقد فقط.,العباره صحيحه,العباره خاطئه ,2,,
لا يجوز لأية جهة مزاولة عمليات التدريب المهني إلا إذا كانت............................,شركة من شركات المساهمة أو التوصية بالأسهم,جهة تنشئها وحدات الجهاز الإداري للدولة,جهة تزاول عمليات التأهيل والتدريب المهني للمعوقين,جميع ما سبق ,4
تعرض البرامج التدريبية على التي تضعها الجهات المرخص لها بالتدريب المهني على الأجهزة المعنية بالوزارة المختصة لاعتمادها، مراعية في ذلك,الشروط التي يحب توافرها في المتدربين للالتحاق بالبرامج ومصروفات التدريب,مستويات ونوعية المتدربين,مستوى المهارة الذي يكتسبه المتدرب بعد الانتهاء من البرنامج,جميع ما سبق ,4
يعتبر البرنامج التدريبي معتمداً من الوزارة إذا مر ستين يوما من تاريخ تقديمها دون تلقي إخطار,العباره صحيحه ,العباره خاطئه,1,,
لقياس مستوى مهارة متدرب في حرفة معينه يجب ان يتم اختباره واعطائه شهادة تبين درجه مهارته بما لا يجاوز مئة جنيها كرسوم,العباره صحيحه,العباره خاطئه ,2,,
في حالة تعارض حكم في عقد العمل الفردي مع حكم مقابل في اتفاقية العمل الجماعية، يسري حكم عقد العمل الفردي,العباره صحيحه,العباره خاطئه ,2,,
يكون ابرام الاتفاقية الجماعية لمدة محددة لا تزيد عن................,سنة واحده,ثلاث سنوات ,خمس سنوات,2,
يتعين على طرفي الاتفاقية الجماعة سلوك طريق المفاوضة الجماعية لتجديدها قبل انتهاء مدتها ب........,ثلاثة أشهر ,خمسة أشهر,شهرين,1,
من هو الملتزم بان يضع في مكان ظاهر في محل العمل الاتفاقية الجماعية متضمنة نصوصها والموقعين عليها وتاريخ إيداعها,صاحب العمل ,الجهه المختصه,لا احد يلتزم,1,
تكون الاتفاقية الجماعية نافذة وملزمة لطرفيها بعد إيداعها لدي الجهة الإدارية المختصة ونشر هذا الإيداع بالوقائع المصرية مشتملا على .....,جميع بنود الاتفاقيه,اهم بنود الاتفاقيه,ملخص لأحكام الاتفاقيه ,3,
تتولى الجهة الإدارية المختصة قيد الاتفاقية خلال ............ من تاريخ ابداعها لديها ونشر القيد وفقا لأحكام الفقرة الأولى,عشرين يوما,ثلاثين يوما ,ستين يوما,2,
إذا رفضت الجهة الإدارية المختصة قيد الاتفاقية ، ........ لكل من طرفي الاتفاقية اللجوء إلى المحكمة الابتدائيه,جاز  ,وجب,لم يتوجب,1,
ينتهي عقد العامل إلا بانقضاء مدته حتى و إن تجاوز سن التقاعد,العباره صحيحه ,العباره خاطئه,1,,
إذا طرأت ظروف استثنائية غير متوقعة ترتب علي حدوثها أن تنفيذ احد الطرفين للاتفاقية أو الحكم من أحكامها أصبح مرهقا وجب علي الطرفين سلوك طريق ................ لمناقشة هذه الظروف والوصول إلى اتفاق,الحكم القضائي,المفاوضه الجماعيه ,النزاع المدني,2,
إذا قضت المحكمة بقيد الاتفاقية على الجهة الإدارية المختصة إجراء القيد في السجل الخاص ونشر ملخص الاتفاقية في الوقائع المصرية بالمصروفات,العباره صحيحه ,العباره خاطئه,1,,
لا يجوز للمنظمات النقابية ، واصحاب الأعمال ومنظماتهم من غير طرفي الاتفاقية الجماعية الانضمام إلى الاتفاقية بعد نشرها بالوقائع المصرية.,العباره صحيحه,العباره خاطئه ,2,,
إذا طرأت ظروف استثنائية غير متوقعة ترتب علي حدوثها أن تنفيذ احد الطرفين للاتفاقية أو الحكم من أحكامها أصبح مرهقا وجب علي الطرف الأول سلوك طريق المفاوضة الجماعية لمناقشة هذه الظروف.,العباره صحيحه,العباره خاطئه ,2,,
للمنظمة النقابية ولمنظمات اصحاب الأعمال التي تكون طرفا في الاتفاقية الجماعية أن ترفع لمصلحة أي عضو من أعضائها جميع الدعاوى الناشئة عن الإخلال بأحكام الاتفاقية,العباره صحيحه ,العباره خاطئه,1,,
تخضع المنازعات الخاصة باي حكم من أحكام الاتفاقية الجماعية للإجراءات التي تتفق عليها الجهه المختصه في الاتفاقية,العباره صحيحه,العباره خاطئه ,2,,
اذا قبل الطرفان التوصيات التى يقدمها الوسيط او بعضها ليس من الضرورى اثبان ذلك فى اتفاقية يوقعها الطرفان والوسيط.,الجملة صحيحة.,الجملة خاطئة. ,2,,
يجب ان يكون رفض الطرفين او أحدهما للتوصيات المشار اليها كلها او بعضها ليس مسببا,الجملة صحيحة.,الجملة خاطئة. ,2,,
يجوز للوسيط اعطاء مهلة اقصاها................لمن رفض التوصيات للعدول عن الرفض وذلك قبل ان يقدم تقريره الى الجهة الادارية المختصة.,يوم واحد,ثلاتة ايام  ,يومان,اربعة ايام,2
يجوز لصاحب العمل او التنظيم النقابي في المنشآت الحيوية و الاستراتيجية الاتفاق على اللجوء الى التحكيم الخاص.,العباره صحيحه,العباره خاطئه ,2,,
يحدد الطرفان في وثيقة التحكيم ....  و ... و .... التي تتبع في التحكيم الخاص و بشرط .....,موضوع النزاع و الشروط و الاجراءات، بشرط ان يكون عدد المحكمين وترا. ,1,,,
يختص ....  بكل ما يتعلق بتنفيذ حكم التحكيم.,قاضي التنفيذ. ,1,,,
تقوم اللجنة النقابية باخطار صاحب العمل و الجهة الادارية المختصة قبل تاريخ الاضراب ب 10 ايام على الاقل.,العباره صحيحه,العباره خاطئه ,2,,
يتعين ان يتضمن الاخطار بالعزم علي الاضراب على ... و...,الاسباب الدافعة للضراب  المدة الزمنية المحددة له. ,1,,,
يجوز الاضراب بقصد تعديل اتفاقية العمل لاجماعي اثناء فترة سريانها.,العباره صحيحه,العباره خاطئه ,2,,
يكون لصاحب العمل، لضروريات اقتصادية حق ... او...  بما قد يمس حجم العمالة بها وذلك في الاوضاع والشروط والإجراءات المنصوص عليها في هذا القانون.,الاغلاق الكلي او الجزئي، او تقليص حجمها او نشاطها. ,1,,,
اذا كان  صاحب العمل يستخدم .... عامل فأكثر يجب عليه ان يتقدم بطلب لاغلاق المنشأة او تقليص حجمها او نشاطها الي لجنة  تشكل لهذا و يجب ان يتضمن على .... و .... و .....,10، الاسباب و اعداد و فئاات العمال مستغنى عنهم. ,1,,,
على اللجنة التي تنظر في إغلاق المنشأة أو تقليص نشاطها اصدار قرارها خلال ......يوم:,عشرين,ثلاثين ,أربعين,2,
في حالة تقليص حجم النشأة يتم الاستناد على ........في اختيار من سيتم الاستغناء عنه:,الأقدمية,الأعباء العائلية,القدرات والمهارات,جميع ما سبق ,4
